iter	MultiClass
0	0.9692263018
1	0.928958759
2	0.9051868759
3	0.8926772359
4	0.8825414406
5	0.8745044099
6	0.8693165941
7	0.8597575772
8	0.8531762292
9	0.8474616292
10	0.843982732
11	0.8406344164
12	0.8380767148
13	0.8366972905
14	0.8330581436
15	0.831069317
16	0.8275115675
17	0.8253389811
18	0.8224227493
19	0.8200079211
20	0.8172411616
21	0.8149430882
22	0.8133430719
23	0.8108829257
24	0.8088299402
25	0.807934915
26	0.8055670032
27	0.8032742391
28	0.8016023908
29	0.8002164489
30	0.798532368
31	0.7977636675
32	0.7967299562
33	0.7955217763
34	0.7943210019
35	0.7932382388
36	0.7920385833
37	0.7909088172
38	0.7900565854
39	0.7892839813
40	0.7884609759
41	0.7880192526
42	0.7868123807
43	0.7859559998
44	0.7852346242
45	0.7845989802
46	0.7838266362
47	0.7827120199
48	0.7816744262
49	0.7813920145
50	0.7807207647
51	0.7800326297
52	0.7792681224
53	0.778355889
54	0.7766384756
55	0.7757873282
56	0.7751271557
57	0.7746098895
58	0.7737140139
59	0.7732350602
60	0.7726362669
61	0.7722480759
62	0.7716038094
63	0.7710293998
64	0.7702836357
65	0.7698129683
66	0.7689622952
67	0.7682688222
68	0.7676389348
69	0.7672063939
70	0.7668001873
71	0.7663815977
72	0.765949087
73	0.7653373811
74	0.7649434175
75	0.7645140091
76	0.7641502295
77	0.7638982002
78	0.7635687823
79	0.7630130955
80	0.7623286556
81	0.7620113208
82	0.7617845914
83	0.76147505
84	0.7613117606
85	0.7607432556
86	0.7603250115
87	0.7599616109
88	0.7596904637
89	0.7591222925
90	0.7588179989
91	0.7582977754
92	0.758088436
93	0.7578183507
94	0.7575423132
95	0.7573418369
96	0.7570517779
97	0.7569093696
98	0.7566920856
99	0.7565004731
