iter	Passed	Remaining
0	331	32835
1	557	27330
2	792	25635
3	1006	24149
4	1211	23013
5	1424	22319
6	1604	21313
7	1840	21170
8	2094	21182
9	2307	20769
10	2519	20385
11	2722	19965
12	2939	19675
13	3116	19145
14	3351	18989
15	3550	18639
16	3765	18386
17	4001	18229
18	4216	17974
19	4439	17759
20	4646	17480
21	4897	17365
22	5092	17049
23	5321	16852
24	5528	16584
25	5733	16318
26	5975	16156
27	6196	15934
28	6424	15729
29	6650	15518
30	6901	15361
31	7114	15119
32	7340	14902
33	7558	14671
34	7780	14449
35	8037	14289
36	8254	14055
37	8455	13796
38	8673	13565
39	8907	13360
40	9110	13110
41	9297	12838
42	9517	12615
43	9730	12384
44	9957	12170
45	10165	11933
46	10376	11701
47	10591	11474
48	10820	11262
49	11017	11017
50	11247	10806
51	11483	10599
52	11706	10381
53	11938	10170
54	12174	9961
55	12394	9738
56	12614	9516
57	12847	9303
58	13063	9078
59	13282	8854
60	13496	8629
61	13814	8466
62	14053	8253
63	14268	8026
64	14463	7787
65	14659	7551
66	14858	7318
67	15042	7078
68	15236	6845
69	15404	6601
70	15585	6365
71	15757	6127
72	15935	5893
73	16116	5662
74	16299	5433
75	16487	5206
76	16658	4975
77	16839	4749
78	17008	4521
79	17189	4297
80	17384	4077
81	17550	3852
82	17722	3629
83	17902	3409
84	18069	3188
85	18241	2969
86	18424	2753
87	18593	2535
88	18766	2319
89	18984	2109
90	19141	1893
91	19334	1681
92	19519	1469
93	19676	1255
94	19853	1044
95	20022	834
96	20205	624
97	20372	415
98	20531	207
99	20690	0
